ID,BUSINESS,BUSINESS_TAGS,TIME,WEEKDAY,OCCURRENCE_TYPES,NEIGHBORHOOD,ADDRESS_STREET,ADDRESS_UNIT,ADDRESS_CITY,ADDRESS_STATE,ADDRESS_ZIP,PRIZE_1_TYPE,PRIZE_1_AMOUNT,PRIZE_2_TYPE,PRIZE_2_AMOUNT,PRIZE_3_TYPE,PRIZE_3_AMOUNT,HOST,EVENT_TYPE
20,MEYERS BREWING COMPANY,BREWERY,7:30 PM,THURSDAY,,FISHTOWN,436 E GIRARD AVE,,PHILADELPHIA,PA,19125,,,,,,,,QUIZZO
21,NAKED BREWING COMPANY,BREWERY,7:00 PM,TUESDAY,,,212 MILL ST,,BRISTOL BOROUGH,PA,19007,,,,,,,,QUIZZO
22,MECHANICAL BREWERY,BREWERY,6:30 PM,THURSDAY,,,5 PERINA BLVD SUITE,800,CHERRY HILL,NJ,8003,,,,,,,,QUIZZO
23,BALD BIRDS BREWING,BREWERY,7:00 PM,WEDNESDAY,,,970 RITTENHOUSE RD,#400,AUDUBON,PA,19403,,,,,,,,QUIZZO
24,LUNACY BREWING COMPANY,BREWERY,7:00 PM,THURSDAY,"SECOND_OF_MONTH,FOURTH_OF_MONTH",,1500 W KINGS HWY,,HADDON HEIGHTS,NJ,8035,,,,,,,,QUIZZO
25,LOWER FORGE BREWERY,BREWERY,7:00 PM,THURSDAY,,,14 S MAIN ST,,MEDFORD,NJ,8055,,,,,,,,QUIZZO
26,URBAN VILLAGE BREWING CO.,"BREWERY,BAR",8:00 PM,THURSDAY,,NORTHERN LIBERTIES,1001 N 2ND ST,,PHILADELPHIA,PA,19123,GIFT_CARD,40,GIFT_CARD,25,GIFT_CARD,10,,QUIZZO
27,LOVE CITY BREWING,"BREWERY,FOOD_TRUCKS",7:00 PM,WEDNESDAY,FIRST_OF_MONTH,CALLOWHILL,1023 HAMILTON ST,,PHILADELPHIA,PA,19123,,,,,,,DJ QUIZZO,QUIZZO
28,WISSAHICKON BREWING COMPANY,"BREWERY,FOOD_TRUCKS",7:30 PM,THURSDAY,,EAST FALLS,3705 W SCHOOL HOUSE LN,,PHILADELPHIA,PA,19129,,,,,,,SEAN MAGUIRE,QUIZZO
29,TWISTED GINGERS,"BREWERY,RESTAURANT",6:30 PM,MONDAY,,MANAYUNK,4317 FLEMING ST,,PHILADELPHIA,PA,19128,,,,,,,BREWTENANT DAN,QUIZZO
30,DOCK STREET SOUTH,"BREWERY,RESTAURANT",8:00 PM,WEDNESDAY,,SOUTH PHILADELPHIA,2118 WASHINGTON AVE,,PHILADELPHIA,PA,19146,,,,,,,JOHNNY GOODTIMES,QUIZZO
31,TRIPLE BOTTOM BREWING,"BREWERY,RESTAURANT",6:00 PM,WEDNESDAY,"FIRST_OF_MONTH,THIRD_OF_MONTH",SPRING ARTS,915 SPRING GARDEN ST,,PHILADELPHIA,PA,19123,,,,,,,,QUIZZO
32,OTHER HALF,"BREWERY,RESTAURANT",6:30 PM,WEDNESDAY,,FISHTOWN,1002 CANAL ST,,PHILADELPHIA,PA,19123,,,,,,,,QUIZZO
33,CHESTNUT HILL BREWING COMPANY,"BREWERY,RESTAURANT",7:00 PM,WEDNESDAY,,CHESTNUT HILL,8231 GERMANTOWN AVE,,PHILADELPHIA,PA,19118,GROWLER,1,,,,,,QUIZZO
34,VICTORY BREWING COMPANY,"BREWERY,RESTAURANT",6:30 PM,MONDAY,,CENTER CITY,1776 BEN FRANKLIN PARKWAY,,PHILADELPHIA,PA,19103,GIFT_CARD,50,GIFT_CARD,25,BEER_SIX_PACK,1,,QUIZZO
35,WELL CRAFTED BEER COMPANY,"BREWERY,RESTAURANT",7:30 PM,THURSDAY,,,310 MADISON ST,,LANSDALE,PA,19446,,,,,,,,QUIZZO
36,ANIMATED BREWING,"BREWERY,RESTAURANT",7:00 PM,WEDNESDAY,,,255 MT AIRY RD,,COATESVILLE,PA,19320,,,,,,,,QUIZZO
37,EAST BRANCH BREWING CO,"BREWERY,RESTAURANT",7:00 PM,WEDNESDAY,,,202 E LANCASTER AVE,,DOWNINGTOWN,PA,19335,GIFT_CARD,30,,,,,,QUIZZO
38,HUMAN ROBOT JENKINTOWN,"BREWERY,RESTAURANT",7:00 PM,WEDNESDAY,,,208 YORK RD,,JENKINTOWN,PA,19046,,,,,,,,QUIZZO
39,WORKHORSE BREWING COMPANY,"BREWERY,RESTAURANT",6:30 PM,TUESDAY,,,250 KING MANOR DR,SUITE 300,KING OF PRUSSIA,PA,19406,,,,,,,,QUIZZO
40,MIDNIGHT OIL BREWING COMPANY,"BREWERY,RESTAURANT",7:00 PM,TUESDAY,,,74 PENCADER DR,,NEWARK,DE,19702,,,,,,,,QUIZZO
41,STABLE 12 BREWING CO.,"BREWERY,RESTAURANT",7:00 PM,WEDNESDAY,,,368 BRIDGE ST,,PHOENIXVILLE,PA,19460,,,,,,,,QUIZZO
42,STICKMAN BREWS,"BREWERY,RESTAURANT",7:00 PM,THURSDAY,,,326 N LEWIS RD,#240,ROYERSFORD,PA,19468,,,,,,,,QUIZZO
43,IMPRINT BEER CO.,"BREWERY,RESTAURANT,ARCADE,CANTINA",7:00 PM,THURSDAY,"SECOND_OF_MONTH,FOURTH_OF_MONTH",,1500 INDUSTRY RD,STE R,HATFIELD,PA,19440,,,,,,,LUNCH MONEY QUIZZO,QUIZZO
44,STOLEN SUN BREWING AND ROASTING,"BREWERY,ROASTERY",6:30 PM,WEDNESDAY,,,342 N POTTSTOWN PIKE,SUITE B,EXTON,PA,19341,,,,,,,SHAMUS HALLORAN,QUIZZO
45,SHADY BROOK FARM,FARMERS_MARKET,7:00 PM,WEDNESDAY,,,931 STONY HILL RD,,YARDLEY,PA,19067,,,,,,,EMILY AND JOE,QUIZZO
46,SANTUCCI'S,PIZZERIA,7:00 PM,WEDNESDAY,,WEST POPLAR,655 N BROAD ST,,PHILADELPHIA,PA,19123,,,,,,,SJK,QUIZZO
47,RAMS PIZZA,PIZZERIA,8:00 PM,TUESDAY,,,25 E BROADWAY AVE,,CLIFTON HEIGHTS,PA,19018,,,,,,,,QUIZZO
48,PAPPOUS PIZZA PUB,"PIZZERIA,BAR",8:00 PM,THURSDAY,,,415 BALTIMORE PIKE,,MORTON,PA,19070,,,,,,,,QUIZZO
49,TONELLI'S,"PIZZERIA,BAR",7:00 PM,TUESDAY,,,278 EASTON RD,,HORSHAM,PA,19044,,,,,,,,QUIZZO
50,NICK'S ROAST BEEF WOODHAVEN,RESTAURANT,8:00 PM,THURSDAY,,PARKWOOD,4501 WOODHAVEN RD,,PHILADELPHIA,PA,19154,,,,,,,,QUIZZO
51,NICK'S ROAST BEEF COTTMAN,RESTAURANT,8:00 PM,WEDNESDAY,,NORTHEAST PHILADELPHIA,2210 COTTMAN AVE,,PHILADELPHIA,PA,19149,,,,,,,,QUIZZO
52,OLD ORIGINAL NICK'S ROAST BEEF,RESTAURANT,8:00 PM,TUESDAY,,WEST PASSYUNK,2149 S 20TH ST,,PHILADELPHIA,PA,19145,,,,,,,,QUIZZO
53,SIDE CAR BAR,"RESTAURANT,BAR",8:00 PM,SUNDAY,,GRADUATE HOSPITAL,2201 CHRISTIAN ST,,PHILADELPHIA,PA,19146,,,,,,,3WAYQUIZZO,QUIZZO
54,INTERSTATE DRAFTHOUSE,"RESTAURANT,BAR",8:00 PM,TUESDAY,,FISHTOWN,1235 E PALMER ST,,PHILADELPHIA,PA,19125,,,,,,,ANXIOUS MILLENIAL QUIZZO,QUIZZO
55,MIFFLIN TAVERN,"RESTAURANT,BAR",6:30 PM,TUESDAY,,PENNSPORT,1843 S 2ND ST,,PHILADELPHIA,PA,19148,,,,,,,DJ DENIM,QUIZZO
56,GREAT AMERICAN PUB (CONSHOHOCKEN),"RESTAURANT,BAR",8:00 PM,WEDNESDAY,,,123 FAYETTE ST,,CONSHOHOCKEN,PA,19428,,,,,,,DJ GADGET,QUIZZO
57,PJ'S NEWTOWN SQUARE,"RESTAURANT,BAR",7:30 PM,TUESDAY,,,4803 WEST CHESTER PIKE,,NEWTOWN SQUARE,PA,19073,,,,,,,DJMUVE,QUIZZO
